title,publishedAt,viewCount,likeCount,commentCount
[シャドウバース]相手の攻撃力が20以上になれば勝ち！？メアリ―邪悪なる契りOTK！[ゆっくり実況],2020-04-24T09:00:32Z,129518,1256,218
[シャドウバース]1ターンに魔海を3回発動！トリプル魔海OTK！[ゆっくり実況],2019-11-26T11:47:05Z,74338,815,176
[シャドウバース]圧倒的スタッツの暴力！ムシュフシュジャバウォックドラゴン！[ゆっくり実況],2019-03-21T11:07:13Z,76899,555,80
[シャドウバース]アリス上方修正記念！トリプルアリスOTK！[ゆっくり実況],2019-11-23T13:01:50Z,70244,972,224
[シャドウバース]懐かしのロマンコンボ！ディーラーラウラOTK！～メアリーを添えて～[ゆっくり実況],2019-03-03T09:18:00Z,55780,365,78
[シャドウバース]全力で守られた滅殺は強い？滅殺お守り隊！[ゆっくり実況],2019-11-18T11:41:43Z,77387,731,148
[シャドウバース]セラフ5枚も出せば除去されない！？崇拝セラフ！[ゆっくり実況],2020-02-25T12:10:20Z,120667,1085,299
[シャドウバース]スタッツ16倍！５連パメラで圧倒的スタッツの暴力！[ゆっくり実況],2020-03-11T12:39:13Z,77001,1302,271
[シャドウバース]壮麗なる隼確定！！フリッグOTK！[ゆっくり実況],2021-11-02T11:29:07Z,74092,1185,196
[シャドウバース]２０点自傷して勝ち！？メアリーベルフェOTK！[ゆっくり実況],2020-08-30T10:11:56Z,77708,1085,240
[シャドウバース]守護持ちのレオニダス4体降臨！ジャイアントマッチレオニダス！[ゆっくり実況],2020-07-18T11:12:54Z,100783,1006,214
[シャドウバース]４ターン目に疾走を４体出してOTK！幽魂の棺骸の王OTK！[ゆっくり実況],2020-08-10T10:29:52Z,85239,1274,292
[シャドウバース]攻撃力２０の疾走僥倖！！ラインハルト単体OTK！[ゆっくり実況],2020-11-17T10:30:04Z,78727,952,199
[シャドウバース]インモラルディザイアで遂に６ターンOTKが可能になった滅殺の鎧[ゆっくり実況],2021-04-11T10:00:00Z,75769,1074,291
[シャドウバース]１５以下のダメージは完全無効化の最強盤面！！5連ビクトリーブレイダー！[ゆっくり実況],2022-03-22T11:07:28Z,82547,1281,231
[シャドウバース]攻撃するだけで相手の体力最大値をー２１するチートフォロワー！！愛絶の飛翔ルーゼンOTK！[ゆっくり実況],2022-03-17T10:01:31Z,88990,1204,144
[シャドウバース]邪教は不要！攻撃力２１の偶像様OTK！[ゆっくり実況],2020-09-18T09:40:09Z,85862,1183,180
[シャドウバース]狂乱ヴァンプ最終兵器！？絶対守護者ロキアギト！[ゆっくり実況],2021-09-04T11:20:12Z,105285,1166,224
[シャドウバース]攻撃力20の守護無視疾走！？スクナ単体OTK！[ゆっくり実況],2020-10-06T10:29:58Z,94838,1105,189
[シャドウバース]0コスト5ダメージスペルを4連打！！干絶の甘露OTK！[ゆっくり実況],2022-02-15T10:12:24Z,87230,1347,239
[シャドウバース]強制６ドローで火力底上げ！！ストームアローOTK！[ゆっくり実況],2021-09-08T12:00:02Z,103756,1127,261
[シャドウバース全体２０ダメージからの攻撃力２０のオルオーン！！絶対に決着付けるリタイアボタン！[ゆっくり実況],2020-10-13T10:29:57Z,156173,1662,262
[シャドウバース]圧倒的スタッツの暴力！マジカルラットパメラ！[ゆっくり実況],2019-12-29T12:31:12Z,119217,1075,197
[シャドウバース]とどめは卵の大爆発！？ブリッツアーティファクトOTK！[ゆっくり実況],2020-05-06T10:40:13Z,157933,1454,256
[シャドウバース]選択不可にしたチャットで無限に守護モルディカイを出す！[ゆっくり実況],2020-01-17T12:45:17Z,98329,773,240
[シャドウバース]場に出ただけで20ダメージ！！式神貴人OTK！[ゆっくり実況],2022-02-22T11:15:51Z,63898,992,245
[シャドウバース]攻撃力２０の背徳の狂獣！？背徳クロノスOTK！[ゆっくり実況],2020-05-25T10:00:47Z,117288,1940,342
